"","Areaname","STCOU","LND010190F","LND010190D","LND010190N1","LND010190N2","LND010200F","LND010200D","LND010200N1","LND010200N2","LND110180F","LND110180D","LND110180N1","LND110180N2","LND110190F","LND110190D","LND110190N1","LND110190N2","LND110200F","LND110200D","LND110200N1","LND110200N2","LND110210F","LND110210D","LND110210N1","LND110210N2","LND210190F","LND210190D","LND210190N1","LND210190N2","LND210200F","LND210200D","LND210200N1","LND210200N2"
"73","Anchorage, AK","02020",0,1961.51,"0000","0000",0,1961.09,"0000","0000",0,1732,"0000","0000",0,1697.64,"0000","0000",0,1697.21,"0000","0000",0,1704.68,"0000","0000",0,263.87,"0000","0000",0,263.88,"0000","0000"
"74","Bethel, AK","02050",0,45954.59,"0000","0000",0,45508.46,"0000","0000",0,36104,"0000","0000",0,41087.41,"0000","0000",0,40633.31,"0000","0000",0,40570,"0000","0000",0,4867.18,"0000","0000",0,4875.15,"0000","0000"
"75","Bristol Bay, AK","02060",0,917.61,"0000","0000",0,887.68,"0000","0000",0,531,"0000","0000",0,519.22,"0000","0000",0,504.92,"0000","0000",0,503.84,"0000","0000",0,398.39,"0000","0000",0,382.77,"0000","0000"
"76","Denali, AK","02068",2,0,"5082","0000",0,12774.53,"0000","0000",2,0,"5082","0000",2,0,"5082","0000",0,12749.65,"0000","0000",0,12751.41,"0000","0000",2,0,"5082","0000",0,24.88,"0000","0000"
"77","Dillingham, AK","02070",0,20613.12,"0000","0000",0,20928.41,"0000","0000",1,46042,"5081","0000",0,18466.93,"0000","0000",0,18674.78,"0000","0000",0,18568.78,"0000","0000",0,2146.19,"0000","0000",0,2253.63,"0000","0000"
"78","Fairbanks North Star, AK","02090",0,7443.68,"0000","0000",0,7444.02,"0000","0000",0,7404,"0000","0000",0,7362.43,"0000","0000",0,7366.24,"0000","0000",0,7338.21,"0000","0000",0,81.25,"0000","0000",0,77.78,"0000","0000"
"79","Haines, AK","02100",0,2754.1,"0000","0000",0,2725.82,"0000","0000",0,2374,"0000","0000",0,2357,"0000","0000",0,2343.73,"0000","0000",0,2318.6,"0000","0000",0,397.1,"0000","0000",0,382.09,"0000","0000"
"80","Hoonah-Angoon, AK","02105",1,17500.23,"5084","0000",1,11376.73,"5084","0000",1,13239,"5084","0000",1,12880.62,"5084","0000",1,7896.48,"5084","0000",0,7524.92,"0000","0000",1,4619.61,"5084","0000",1,3480.25,"5084","0000"
"81","Juneau, AK","02110",0,3081.12,"0000","0000",0,3255.01,"0000","0000",0,2626,"0000","0000",0,2593.56,"0000","0000",0,2716.67,"0000","0000",0,2701.93,"0000","0000",0,487.56,"0000","0000",0,538.34,"0000","0000"
"82","Kenai Peninsula, AK","02122",0,21664.33,"0000","0000",0,24754.6,"0000","0000",0,16056,"0000","0000",0,16078.92,"0000","0000",0,16013.26,"0000","0000",0,16075.33,"0000","0000",0,5585.41,"0000","0000",0,8741.34,"0000","0000"
"83","Ketchikan Gateway, AK","02130",0,1743.55,"0000","0000",0,1753.98,"0000","0000",0,1242,"0000","0000",0,1219.64,"0000","0000",0,1233.22,"0000","0000",0,4858.41,"0000","0000",0,523.91,"0000","0000",0,520.75,"0000","0000"
"84","Kodiak Island, AK","02150",0,11845.9,"0000","0000",0,12023.67,"0000","0000",0,4796,"0000","0000",0,6462.57,"0000","0000",0,6559.85,"0000","0000",0,6549.58,"0000","0000",0,5383.33,"0000","0000",0,5463.83,"0000","0000"
